course_id,course_name,category,difficulty,course_stage,prerequisites,path_order,python,java,javascript,web,react,backend,nodejs,spring_boot,dsa,oop,sql,database,system_design,ai,ml,deep_learning,nlp,computer_vision,data_science,statistics,data_engineering,cloud,devops,docker,linux,cybersecurity,testing,git
1,Python Programming,Programming,Beginner,Foundation,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Advanced Python,Programming,Advanced,Core,python,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Java Programming,Programming,Beginner,Foundation,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Advanced Java,Programming,Advanced,Core,java|oop,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Object Oriented Programming,Programming,Beginner,Foundation,java,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Data Structures and Algorithms,Programming,Intermediate,Core,java|dsa,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Advanced DSA,Programming,Advanced,Advanced,java|dsa,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Git and GitHub,Tools,Beginner,Core,git,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Advanced Git and GitHub,Tools,Intermediate,Core,git,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Backend Development Fundamentals,Backend,Beginner,Core,programming,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,REST API Development,Backend,Beginner,Core,backend,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Spring Boot Development,Backend,Intermediate,Core,java|backend,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Advanced Spring Boot,Backend,Advanced,Advanced,java|spring_boot|backend,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Node.js Backend Development,Backend,Intermediate,Core,javascript|backend,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Advanced Node.js,Backend,Advanced,Advanced,javascript|nodejs|backend,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Microservices Architecture,Backend,Advanced,Advanced,backend|spring_boot|system_design,9,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,System Design Fundamentals,Software Engineering,Intermediate,Advanced,backend|database,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Advanced System Design,Software Engineering,Advanced,Advanced,backend|system_design,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,SQL Fundamentals,Database,Beginner,Foundation,,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Advanced SQL,Database,Intermediate,Core,sql|database,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Database Management Systems,Database,Intermediate,Core,sql,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Advanced Database Systems,Database,Advanced,Advanced,database|sql,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,MongoDB Development,Database,Intermediate,Core,database|backend,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Database Design and Optimization,Database,Advanced,Advanced,database|sql|system_design,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,HTML and CSS,Web,Beginner,Foundation,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,JavaScript Fundamentals,Web,Beginner,Foundation,web,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Advanced JavaScript,Web,Intermediate,Core,javascript|web,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Frontend Development,Web,Intermediate,Core,javascript|web,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,React Development,Web,Intermediate,Core,javascript|web,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Advanced React,Web,Advanced,Advanced,javascript|react|web,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Frontend Performance and Architecture,Web,Advanced,Advanced,javascript|react|web,7,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
