student_id,python,java,javascript,web,react,backend,nodejs,spring_boot,dsa,oop,sql,database,system_design,ai,ml,deep_learning,nlp,computer_vision,data_science,statistics,data_engineering,cloud,devops,docker,linux,cybersecurity,testing,git,interest,goal,level,performance
1,0.63,0.07,0.3,0.25,0.71,0.66,0.85,0.13,0.43,0.08,0.25,0.5,0.07,0.23,0.63,0.54,0.25,0.58,0.78,0.06,0.78,0.68,0.36,0.19,0.91,0.35,0.13,0.14,Cybersecurity,DevOps Engineer,Intermediate,84.39
2,0.71,0.53,0.93,0.39,0.55,0.8,0.61,0.83,0.57,0.68,0.09,0.26,0.31,0.12,0.26,0.14,0.3,0.62,0.38,0.38,0.24,0.29,0.89,0.63,0.6,0.2,0.71,0.2,Software Engineering,Data Engineer,Advanced,77.85
3,0.25,0.34,0.74,0.1,0.79,0.77,0.41,0.11,0.87,0.56,0.7,0.24,0.5,0.85,0.63,0.18,0.18,0.72,0.54,0.72,0.44,0.58,0.38,0.95,0.17,0.49,0.73,0.82,Backend Development,Cloud Engineer,Beginner,83.56
4,0.43,0.11,0.39,0.95,0.53,0.92,0.82,0.06,0.7,0.66,0.53,0.29,0.63,0.15,0.44,0.46,0.91,0.84,0.29,0.5,0.21,0.87,0.83,0.32,0.63,0.6,0.19,0.74,AI / Machine Learning,DevOps Engineer,Intermediate,66.87
5,0.15,0.38,0.94,0.78,0.27,0.27,0.56,0.12,0.71,0.78,0.93,0.53,0.16,0.64,0.9,0.2,0.52,0.6,0.92,0.89,0.73,0.67,0.69,0.41,0.65,0.39,0.86,0.46,Web Development,Data Analyst,Beginner,58.59
6,0.58,0.26,0.25,0.11,0.62,0.26,0.86,0.82,0.11,0.26,0.65,0.24,0.17,0.89,0.56,0.48,0.76,0.78,0.22,0.14,0.44,0.43,0.47,0.71,0.66,0.94,0.14,0.41,Cybersecurity,MLOps Engineer,Beginner,53.68
7,0.22,0.45,0.43,0.3,0.27,0.88,0.45,0.83,0.55,0.1,0.95,0.8,0.92,0.88,0.81,0.2,0.49,0.24,0.41,0.1,0.39,0.94,0.29,0.76,0.46,0.43,0.91,0.95,Data Engineering,Data Scientist,Beginner,56.32
8,0.92,0.57,0.54,0.72,0.1,0.58,0.5,0.82,0.19,0.91,0.12,0.22,0.59,0.66,0.26,0.16,0.85,0.27,0.59,0.61,0.43,0.58,0.52,0.89,0.23,0.69,0.26,0.41,Cloud & DevOps,Full Stack Developer,Intermediate,91.1
9,0.89,0.06,0.61,0.56,0.14,0.53,0.51,0.17,0.36,0.11,0.27,0.31,0.44,0.54,0.32,0.94,0.78,0.53,0.65,0.55,0.89,0.14,0.84,0.29,0.85,0.72,0.19,0.3,Web Development,Cybersecurity Engineer,Intermediate,51.2
10,0.62,0.29,0.49,0.86,0.81,0.13,0.43,0.3,0.05,0.74,0.62,0.29,0.72,0.55,0.43,0.06,0.12,0.84,0.86,0.54,0.8,0.57,0.18,0.16,0.33,0.86,0.77,0.82,Cybersecurity,Data Analyst,Advanced,53.72
11,0.14,0.75,0.85,0.42,0.61,0.19,0.89,0.83,0.93,0.78,0.84,0.07,0.71,0.35,0.89,0.77,0.83,0.78,0.29,0.76,0.15,0.83,0.82,0.25,0.78,0.46,0.32,0.77,Web Development,Data Analyst,Beginner,76.3
